@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
53531,254,1310,255.0.0,131589,935422,2356222,8024440,14213872,29833,1760,989,0,0,0,0,Maggie
42558,248,974,0.189.0,197123,2724330,10798814,13334071,15855856,17631,3285,0,0,0,0,0,Maggie
9440,243,294,0.189.0,65794,340992,7448818,8474631,10589575,5119,3,0,0,0,0,0,Maggie
125460,252,1202,0.156.222,65794,1197312,4236762,13619156,16671010,74201,183,705,0,0,15805,0,Maggie
55120,253,664,0.156.222,131587,916991,1328126,13551054,16672037,26442,176,463,0,0,12571,0,Maggie
42804,243,666,0.156.222,65794,1263104,7369865,13683927,16737316,19393,208,0,0,0,9915,3,Maggie
99050,250,909,0.156.222,65794,1133824,8887189,15001322,16737316,46362,2149,905,0,0,9403,0,Maggie
29555,251,595,255.0.0,267532,2112761,6068372,12894260,13751760,11639,135,147,0,0,0,0,Marge
24768,247,1960,0.66.132,197123,1553432,4211180,11389394,16760446,11230,163,68,0,3611,0,0,Marge
35154,247,671,0.66.132,131587,869858,916476,7367360,15123360,21882,0,905,0,2447,0,0,Marge
38293,247,712,0.66.132,65794,540412,1046521,2061130,16432254,16553,0,411,0,12553,0,0,Marge
30400,251,606,255.0.0,527377,2523632,8484532,13059128,16382592,8777,0,322,0,0,0,0,Marge
48285,251,824,0.66.132,65794,3370473,7304058,13292260,16427386,26065,829,117,0,2749,0,0,Marge
68670,253,1597,255.0.0,65794,719354,3358962,3497037,14137245,50603,133,3857,0,3039,0,0,Marge
60420,255,1349,0.66.132,66051,1590773,6584727,13029079,16627836,40434,250,65,1,4354,0,0,Marge
35960,252,683,0.66.132,65795,1655519,6335174,13883881,16694654,23359,305,169,0,2928,0,51,Marge
16470,253,458,0.66.132,197126,408829,6465207,15132395,16694654,5861,410,81,0,6580,0,0,Marge
30305,250,573,0.66.132,131587,4209902,6273742,15197680,16628606,15275,734,144,0,4381,0,0,Marge
35750,249,1015,0.66.132,131587,3882739,6654379,11911893,16760446,23408,3,99,0,3076,0,0,Marge
45240,247,799,0.66.132,65794,4602863,5877700,14869231,16694398,25329,629,236,0,4052,0,0,Marge
22776,251,2623,0.66.132,131589,3993580,4668399,8554932,16760704,11438,17,106,0,4045,0,0,Marge
48600,254,794,0.66.132,466453,2572021,4962490,14935789,16497535,20027,1332,427,0,6208,0,0,Marge
27136,245,619,0.66.132,65794,682999,5857379,12041161,16368757,14508,0,0,1600,5578,0,0,Marge
31360,252,589,0.66.132,131588,278272,3598584,6704353,16498563,17645,0,334,20,2875,0,0,Marge
62624,251,770,0.66.132,65794,738046,4142132,6065253,14926756,46632,104,0,0,2922,0,0,Marge
67032,248,968,0.189.0,65794,671488,6250339,6578149,16182696,35926,501,0,0,5540,0,0,Marge
50048,250,530,0.189.0,65794,934142,7822466,11983091,16773018,26621,323,0,0,0,0,1,Marge
63434,248,770,0.189.0,65794,4624599,8363128,11124945,14936808,30482,590,0,0,0,0,8,Marge
147700,250,1681,255.0.0,131587,1398252,6636519,13161180,14537631,80735,1692,636,0,0,0,849,Marge
115248,251,1302,255.0.0,65794,1197312,3049774,10070456,16642208,50691,939,155,0,0,0,0,Marge
87248,253,730,255.0.0,131587,393216,1131264,9676254,16375202,23795,1836,1929,0,0,0,3,Marge
